task,task_label,selected_source_batch,selection_basis,rank,gene,prior_gene_set,is_prior_gene,best_top100_jaccard,full_top100_jaccard,top100_jaccard_delta,candidate_panel_rank,stability_score,top50_freq,top50_enrichment,gain_nonzero_freq,mean_rank,n_included,mean_gain,final_global_rank_by_stability_score,mean_stability_score,n_batches_observed,best_stability_rank
er_status,ER status,1000,Figure 2a best Top100 stability batch/consensus,1,C6orf97,,False,0.6573675612931116,0.203979211113432,0.4533883501796796,1,15.23707846280005,1.0,20.0,1.0,2.0,25.0,111.3889176940918,1,,,
er_status,ER status,1000,Figure 2a best Top100 stability batch/consensus,2,AGR3,,False,0.6573675612931116,0.203979211113432,0.4533883501796796,2,15.23532687554754,1.0,18.67512332628612,1.0,2.2,25.0,108.1745976638794,2,,,
er_status,ER status,1000,Figure 2a best Top100 stability batch/consensus,3,ESR1,brca_driver|pam50,True,0.6573675612931116,0.203979211113432,0.4533883501796796,3,15.235223428452546,1.0,19.31486880466472,1.0,2.4,25.0,116.70102920532229,3,,,
er_status,ER status,1000,Figure 2a best Top100 stability batch/consensus,4,DNALI1,,False,0.6573675612931116,0.203979211113432,0.4533883501796796,4,15.23415178668204,1.0,19.31486880466472,1.0,2.56,25.0,92.0104084777832,4,,,
er_status,ER status,1000,Figure 2a best Top100 stability batch/consensus,5,TBC1D9,,False,0.6573675612931116,0.203979211113432,0.4533883501796796,5,15.233368394105042,1.0,19.31486880466472,1.0,2.8,25.0,93.44135116577148,5,,,
er_status,ER status,1000,Figure 2a best Top100 stability batch/consensus,6,GPR77,,False,0.6573675612931116,0.203979211113432,0.4533883501796796,6,15.232647069785038,1.0,18.67512332628612,1.0,2.92,25.0,98.83448776245118,6,,,
er_status,ER status,1000,Figure 2a best Top100 stability batch/consensus,7,ANXA9,,False,0.6573675612931116,0.203979211113432,0.4533883501796796,7,15.231698863192287,1.0,20.0,1.0,3.16,25.0,82.36238540649414,7,,,
er_status,ER status,1000,Figure 2a best Top100 stability batch/consensus,8,SLC39A6,pam50,True,0.6573675612931116,0.203979211113432,0.4533883501796796,8,14.62046795925144,0.96,19.2,0.96,42.04,25.0,94.2050184249878,8,,,
er_status,ER status,1000,Figure 2a best Top100 stability batch/consensus,9,C6orf211,,False,0.6573675612931116,0.203979211113432,0.4533883501796796,9,14.619210814046186,0.96,17.92811839323467,0.96,42.24,25.0,98.67164394378662,9,,,
er_status,ER status,1000,Figure 2a best Top100 stability batch/consensus,10,GATA3,brca_driver,True,0.6573675612931116,0.203979211113432,0.4533883501796796,10,14.618633614322937,0.96,18.54227405247813,0.96,42.4,25.0,93.0406332397461,10,,,
er_status,ER status,1000,Figure 2a best Top100 stability batch/consensus,11,RABEP1,,False,0.6573675612931116,0.203979211113432,0.4533883501796796,11,14.616201380252184,0.96,19.2,0.96,42.96,25.0,76.7587208557129,11,,,
er_status,ER status,1000,Figure 2a best Top100 stability batch/consensus,12,TFF1,,False,0.6573675612931116,0.203979211113432,0.4533883501796796,12,14.61510904906268,0.96,18.54227405247813,0.96,43.16,25.0,74.17391754150391,12,,,
er_status,ER status,1000,Figure 2a best Top100 stability batch/consensus,13,ABAT,,False,0.6573675612931116,0.203979211113432,0.4533883501796796,13,14.61471735277418,0.96,19.2,0.96,43.28,25.0,73.1556004333496,13,,,
er_status,ER status,1000,Figure 2a best Top100 stability batch/consensus,14,CLSTN2,,False,0.6573675612931116,0.203979211113432,0.4533883501796796,14,14.61465598585342,0.96,17.92811839323467,0.96,43.08,25.0,79.99818908691407,14,,,
er_status,ER status,1000,Figure 2a best Top100 stability batch/consensus,15,CA12,,False,0.6573675612931116,0.203979211113432,0.4533883501796796,15,14.002744435094332,0.92,18.4,0.92,82.32,25.0,87.43449989318847,15,,,
