endpoint,batch_size,panel_id,panel_id_for_output,rescue_mode,gene,panel_rank,original_panel_rank,candidate_panel_rank,gain,gain_share,gain_nonzero
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,FAT1,1,1.0,1,6.358592987060547,0.0369131977877342,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,KCNJ11,2,3.0,3,0.0,0.0,False
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,DCAF11,3,4.0,4,0.0,0.0,False
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,RNF141,4,5.0,5,13.579715728759766,0.0788335931576338,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,SPATA17,5,6.0,6,10.014836311340332,0.0581385904593311,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,IQCC,6,7.0,7,11.054216384887695,0.0641724476836508,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,RPP25,7,8.0,8,9.805119514465332,0.0569211328207922,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,NCS1,8,9.0,9,0.0,0.0,False
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,ZNF589,9,10.0,10,9.232794761657717,0.0535986467232869,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,AGBL2,10,12.0,12,14.097909927368164,0.0818418380609659,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,TUBA3E,11,13.0,13,7.097448348999023,0.0412024350714011,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,NCCRP1,12,14.0,14,0.0,0.0,False
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,LYPD1,13,15.0,15,7.255865573883057,0.042122086064479,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,CCDC65,14,17.0,17,10.657291412353516,0.0618682004943967,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,DDX5,15,18.0,18,10.906209945678713,0.0633132338645721,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,RAD51AP2,16,19.0,19,5.573559284210205,0.0323558838658774,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,RPGRIP1,17,22.0,22,7.418907165527344,0.0430685826451281,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,TMBIM4,18,23.0,23,0.0,0.0,False
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,POLL,19,24.0,24,9.496052742004396,0.0551269241138214,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,CALU,20,26.0,26,0.0,0.0,False
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,PFKP,21,27.0,27,0.0,0.0,False
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,WDR93,22,30.0,30,5.636189937591553,0.0327194702285437,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,WDR19,23,,31,0.0,0.0,False
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,DYNC1H1,24,,32,7.345314025878906,0.0426413563506961,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,C5orf46,25,,33,0.0,0.0,False
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,RGS20,26,,34,0.0,0.0,False
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,MYO15B,27,,36,10.972341537475586,0.0636971440366783,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,ADORA2B,28,,37,4.802046775817871,0.0278770638067935,True
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,PRRT2,29,,39,0.0,0.0,False
DFI,250,DFI_batch_250_survival_fused_top30,DFI_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,LOXL2,30,,40,10.953570365905762,0.0635881727642168,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,NSA2,1,1.0,1,15.871902465820312,0.0664139711606092,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,THTPA,2,2.0,2,7.848709106445312,0.0328419319212676,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,CYP24A1,3,3.0,3,18.12052345275879,0.0758230416673914,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,AK7,4,4.0,4,18.687175750732425,0.0781941266369946,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,PARP3,5,5.0,5,12.275510787963867,0.0513653244284502,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,SERPINA1,6,6.0,6,13.482263565063477,0.0564148290047838,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,PCMT1,7,7.0,7,18.729888916015625,0.078372854482217,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,LTA4H,8,8.0,8,14.568021774291992,0.0609580470941327,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,RFX5,9,9.0,9,13.28032684326172,0.0555698502981107,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,CPNE2,10,10.0,10,14.129082679748535,0.0591213618934109,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,FLNB,11,11.0,11,0.0,0.0,False
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,PEX10,12,12.0,12,7.390680313110352,0.0309253682870855,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,CD24,13,14.0,14,14.213154792785645,0.0594731510316495,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,ZNF204P,14,15.0,15,0.0,0.0,False
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,PHF7,15,16.0,16,13.271267890930176,0.0555319442562743,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,RRBP1,16,17.0,17,0.0,0.0,False
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,TMEM31,17,18.0,18,8.441346168518066,0.0353217468542265,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,PLEKHA8,18,19.0,19,3.590566635131836,0.0150242725766124,True
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,CYFIP2,19,20.0,20,0.0,0.0,False
DSS,250,DSS_batch_250_survival_fused_top30,DSS_batch_250_survival_fused_top30_common_top30_backfilled,candidate_backfill,POFUT2,20,21.0,21,0.0,0.0,False
