task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc,model_auprc,primary_metric
er_status,auc_bytree03_bynode04_depth4,100,test_001,1,2056103423,99872193,2000,628,150,4,0.03,0.8,0.3,0.4,6.9,731,314,0.9363057324840764,0.9342860422405876,0.9139678886514329,0.967688246097337,0.9873702903783785,0.967688246097337
er_status,auc_bytree03_bynode04_depth4,100,test_002,2,295111220,1322169052,2000,621,150,4,0.03,0.8,0.3,0.4,13.693,731,314,0.9394904458598726,0.9314738292011019,0.9171699501575798,0.9427800734618916,0.9762455089373032,0.9427800734618916
er_status,auc_bytree03_bynode04_depth4,100,test_003,3,1870736179,682971728,2000,653,150,4,0.03,0.8,0.3,0.4,20.621,731,314,0.9585987261146497,0.9389921946740128,0.9411433926897844,0.9725091827364555,0.9862765602319647,0.9725091827364555
er_status,auc_bytree03_bynode04_depth4,100,test_004,4,1711167083,1200156593,2000,646,150,4,0.03,0.8,0.3,0.4,27.402,731,314,0.9554140127388535,0.9418044077134986,0.9375319729437844,0.9785927456382002,0.992888074136058,0.9785927456382002
er_status,auc_bytree03_bynode04_depth4,100,test_005,5,1905055313,479937873,2000,608,150,4,0.03,0.8,0.3,0.4,34.272,731,314,0.9426751592356688,0.9335399449035813,0.9211715481171547,0.9470270890725437,0.9777557054769547,0.9470270890725437
er_status,auc_bytree03_bynode04_depth4,100,test_006,6,1164178442,1652276096,2000,577,150,4,0.03,0.8,0.3,0.4,40.988,731,314,0.9331210191082803,0.9029499540863177,0.904923942037344,0.930153810835629,0.965701743469723,0.930153810835629
er_status,auc_bytree03_bynode04_depth4,100,test_007,7,1589249748,113490232,2000,621,150,4,0.03,0.8,0.3,0.4,47.747,731,314,0.945859872611465,0.9404843893480257,0.9258889027725714,0.9617194674012857,0.9853566293839832,0.9617194674012857
er_status,auc_bytree03_bynode04_depth4,100,test_008,8,41391522,483427184,2000,606,150,4,0.03,0.8,0.3,0.4,54.543,731,314,0.9331210191082803,0.9175849403122129,0.9076095332838268,0.959022038567493,0.9880275083846001,0.959022038567493
er_status,auc_bytree03_bynode04_depth4,100,test_009,9,955512828,669765161,2000,617,150,4,0.03,0.8,0.3,0.4,61.489,731,314,0.9490445859872612,0.9327938475665749,0.9286079690786109,0.9517906336088156,0.9768222359356882,0.9517906336088156
er_status,auc_bytree03_bynode04_depth4,100,test_010,10,1789187243,171133525,2000,617,150,4,0.03,0.8,0.3,0.4,68.234,731,314,0.9490445859872612,0.9327938475665749,0.9286079690786109,0.9602846648301195,0.9854973568597412,0.9602846648301195
er_status,auc_bytree03_bynode04_depth4,100,test_011,11,499262110,816846242,2000,609,150,4,0.03,0.8,0.3,0.4,74.966,731,314,0.9426751592356688,0.9335399449035813,0.9211715481171547,0.9511593204775023,0.9806209274952614,0.9511593204775023
