gene,prior_gene_set,is_prior_gene,test_001,test_002,test_003,test_004,test_005,test_006,test_007,test_008,test_009,test_010,test_011,test_012,test_013,test_014,test_015,test_016,test_017,test_018,test_019,test_020,test_021,test_022,test_023,test_024,test_025,test_026,test_027,test_028,test_029,test_030,test_031,test_032,test_033,test_034,test_035,test_036,test_037,test_038,test_039,test_040,test_041,test_042,test_043,test_044,test_045,test_046,test_047,test_048,test_049,test_050,test_051,test_052,test_053,test_054,test_055,test_056,test_057,test_058,test_059,test_060,test_061,test_062,test_063,test_064,test_065,test_066,test_067,test_068,test_069,test_070,test_071,test_072,test_073,test_074,test_075,test_076,test_077,test_078,test_079,test_080,test_081,test_082,test_083,test_084,test_085,test_086,test_087,test_088,test_089,test_090,test_091,test_092,test_093,test_094,test_095,test_096,test_097,test_098,test_099,test_100
PSMD3,,False,4,25,7,22,25,180,18,14,12,6,53,17,20,17,27,4,7,3,130,9,14,19,16,12,6,5,15,7,2,56,8,2,9,15,11,28,10,86,23,4,15,13,19,4,8,7,8,4,6,10,27,3,83,4,16,78,3,5,6,13,18,13,4,15,15,13,22,12,50,18,15,4,10,6,25,3,6,53,13,14,12,43,18,70,44,27,13,12,3,16,6,11,17,3,4,8,6,37,22,6
ERBB2,brca_driver|pam50,True,12,14,3,20,4,9,7,1,9,8,6,16,6,16,5,6,21,22,5,23,4,8,4,13,37,12,7,8,9,6,14,8,5,9,13,11,11,10,17,9,29,12,4,17,12,9,6,2,14,16,7,67,8,9,11,5,41,12,9,9,7,36,6,12,9,20,14,19,6,17,5,7,16,10,7,9,5,8,17,79,8,10,30,8,17,4,3,18,25,7,7,57,14,13,13,23,15,1,27,13
GSDMB,,False,213,2,8,6,22,21,120,4,446,73,25,34,63,301,32,3,20,575,6,88,9,47,28,3,5,83,20,60,30,16,10,5,262,7,51,6,347,56,46,12,92,4,63,90,160,36,235,19,58,3,29,7,27,20,12,1,11,16,18,137,5,2,42,2,37,3,2,137,12,105,10,132,24,302,46,11,2000,30,16,5,22,19,3,174,11,603,4,107,2,245,100,24,1,41,50,91,18,10,38,29
PGAP3,,False,13,9,24,8,55,7,40,21,7,5,16,1,16,10,6,14,5,7,4,16,48,7,19,14,11,10,28,21,12,3,15,47,7,26,3,9,16,12,77,30,6,6,15,11,9,6,123,17,4,20,24,164,16,27,14,11,17,19,4,4,11,4,33,21,7,11,34,16,7,8,21,5,7,15,3,43,10,37,49,2,14,7,20,14,14,8,19,3,21,11,22,8,8,32,49,6,28,18,20,7
MED24,,False,28,8,11,3,18,2,33,187,104,121,22,9,43,83,18,307,14,75,18,4,8,5,7,140,4,21,16,23,3,35,2,37,11,238,50,3,118,107,7,65,82,10,5,10,133,278,40,16,118,14,33,12,10,38,42,145,5,40,55,10,57,52,18,36,2,218,5,2,1,134,22,15,20,37,6,17,4,11,31,16,2,8,4,13,3,165,7,146,1,14,1,14,11,60,153,29,14,8,8,27
MSL1,,False,135,38,206,234,12,10,21,6,31,285,219,280,314,43,663,136,274,89,313,146,15,23,157,256,69,95,52,24,318,21,1,461,128,391,2000,182,488,7,39,21,172,21,84,64,5,35,469,66,5,26,214,187,1,376,114,31,18,102,88,57,351,21,11,364,222,24,466,15,35,34,2,329,28,78,9,91,78,197,143,72,302,88,9,67,53,2000,60,56,27,501,171,2000,75,78,8,7,8,164,13,465
STARD3,,False,9,22,15,7,15,3,4,13,20,14,20,8,25,7,41,12,2,5,10,6,7,44,18,7,45,3,48,11,10,5,12,6,18,6,2,25,13,14,15,11,2,19,8,7,2,4,4,20,8,69,6,5,11,8,6,8,14,10,11,11,13,8,12,3,10,6,7,6,4,6,4,6,9,7,4,18,11,10,4,8,4,11,5,12,19,19,6,10,6,2,5,3,5,5,12,5,12,7,3,12
PPP1R10,,False,633,2000,2000,71,24,204,17,176,320,465,501,261,597,650,527,417,609,2,347,2000,352,2000,6,370,363,563,421,2000,87,15,365,4,635,1,2000,2000,354,35,382,682,535,609,16,282,427,385,334,2000,392,530,244,9,445,190,117,2000,283,350,353,81,248,90,320,165,1,37,302,566,523,423,47,666,4,206,147,152,2000,186,415,23,186,40,432,328,685,97,296,529,308,532,50,2000,607,10,2000,2000,2000,668,6,274
ST3GAL3,,False,294,158,551,253,366,444,138,218,187,69,166,283,51,157,379,85,174,344,357,127,2000,209,303,155,416,27,123,456,2000,252,129,374,91,589,140,75,421,158,197,540,20,257,379,297,290,572,137,186,187,211,256,410,211,385,329,2000,287,161,2000,361,332,352,40,19,256,209,464,2000,198,161,117,85,212,238,123,252,341,515,277,466,103,177,234,127,415,255,276,381,300,227,142,375,100,2000,217,438,334,2000,44,103
RPL19,,False,190,93,87,47,163,86,68,206,295,397,91,12,112,527,111,51,53,131,156,148,17,203,94,39,198,102,6,100,611,14,38,478,132,274,589,99,59,345,261,78,60,270,40,48,88,255,129,27,164,28,59,101,37,28,27,178,136,375,186,338,89,283,8,24,302,98,33,171,416,102,293,20,350,61,262,121,38,387,98,118,121,114,60,36,30,208,15,88,88,226,9,58,266,239,154,179,52,183,74,188
