task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc,model_auprc,primary_metric
her2_status,auc_bytree03_bynode04_depth4,100,test_001,1,1755439697,408328108,2000,684,150,4,0.03,0.8,0.3,0.4,6.198,536,230,0.9521739130434783,0.8868547418967587,0.901460564751704,0.946578631452581,0.8495258386082384,0.946578631452581
her2_status,auc_bytree03_bynode04_depth4,100,test_002,2,2032505939,770678170,2000,679,150,4,0.03,0.8,0.3,0.4,12.457,536,230,0.9608695652173913,0.8919567827130852,0.9172364159769701,0.9806422569027611,0.9369310942931992,0.9806422569027611
her2_status,auc_bytree03_bynode04_depth4,100,test_003,3,874784735,507645956,2000,696,150,4,0.03,0.8,0.3,0.4,18.776,536,230,0.9695652173913043,0.9092136854741897,0.9356283235376435,0.9633853541416566,0.9191092961563556,0.9633853541416566
her2_status,auc_bytree03_bynode04_depth4,100,test_004,4,1838123071,2115032141,2000,681,150,4,0.03,0.8,0.3,0.4,25.031,536,230,0.9565217391304348,0.889405762304922,0.9092487373737373,0.9362244897959183,0.9022818829597632,0.9362244897959183
her2_status,auc_bytree03_bynode04_depth4,100,test_005,5,422682713,1714353935,2000,715,150,4,0.03,0.8,0.3,0.4,31.239,536,230,0.9521739130434783,0.8746998799519807,0.8988445084162968,0.9642857142857142,0.8689377198291931,0.9642857142857142
her2_status,auc_bytree03_bynode04_depth4,100,test_006,6,1455206547,791727859,2000,686,150,4,0.03,0.8,0.3,0.4,37.379,536,230,0.9478260869565217,0.8599939975990396,0.8881504295671907,0.948079231692677,0.8474242841078723,0.948079231692677
her2_status,auc_bytree03_bynode04_depth4,100,test_007,7,702800245,837824392,2000,653,150,4,0.03,0.8,0.3,0.4,43.563,536,230,0.9478260869565217,0.8478391356542617,0.885,0.9024609843937575,0.8165375202855719,0.9024609843937575
her2_status,auc_bytree03_bynode04_depth4,100,test_008,8,1475958514,1830036088,2000,706,150,4,0.03,0.8,0.3,0.4,49.828,536,230,0.9695652173913043,0.9213685474189676,0.9372930866601753,0.95453181272509,0.9215096684571027,0.95453181272509
her2_status,auc_bytree03_bynode04_depth4,100,test_009,9,1689413881,233322795,2000,666,150,4,0.03,0.8,0.3,0.4,55.976,536,230,0.9739130434782609,0.9117647058823529,0.9440752147835954,0.9441776710684273,0.9100568593410538,0.9441776710684273
her2_status,auc_bytree03_bynode04_depth4,100,test_010,10,1179816223,116579347,2000,659,150,4,0.03,0.8,0.3,0.4,62.158,536,230,0.9521739130434783,0.850390156062425,0.8930639502937572,0.9285714285714285,0.8721254496869122,0.9285714285714285
her2_status,auc_bytree03_bynode04_depth4,100,test_011,11,1723802457,2042018562,2000,648,150,4,0.03,0.8,0.3,0.4,68.262,536,230,0.9478260869565217,0.8599939975990396,0.8881504295671907,0.9447779111644657,0.8933826276697182,0.9447779111644657
her2_status,auc_bytree03_bynode04_depth4,100,test_012,12,597948332,543174907,2000,701,150,4,0.03,0.8,0.3,0.4,74.477,536,230,0.9695652173913043,0.9092136854741897,0.9356283235376435,0.9449279711884754,0.9081948435958419,0.9449279711884754
her2_status,auc_bytree03_bynode04_depth4,100,test_013,13,597970242,916128546,2000,712,150,4,0.03,0.8,0.3,0.4,80.753,536,230,0.9608695652173913,0.8798019207683073,0.9149513127079995,0.9255702280912365,0.8643444773331216,0.9255702280912365
her2_status,auc_bytree03_bynode04_depth4,100,test_014,14,1884009080,395259218,2000,685,150,4,0.03,0.8,0.3,0.4,86.912,536,230,0.9608695652173913,0.8798019207683073,0.9149513127079995,0.9300720288115245,0.8694722857058469,0.9300720288115245
her2_status,auc_bytree03_bynode04_depth4,100,test_015,15,595697820,33364710,2000,712,150,4,0.03,0.8,0.3,0.4,93.243,536,230,0.9652173913043478,0.9066626650660263,0.9273989898989898,0.957983193277311,0.9186814365970178,0.957983193277311
her2_status,auc_bytree03_bynode04_depth4,100,test_016,16,284414461,659435909,2000,673,150,4,0.03,0.8,0.3,0.4,99.451,536,230,0.9652173913043478,0.9066626650660263,0.9273989898989898,0.9881452581032413,0.9494068294057618,0.9881452581032413
her2_status,auc_bytree03_bynode04_depth4,100,test_017,17,1976945539,288563925,2000,682,150,4,0.03,0.8,0.3,0.4,105.623,536,230,0.9478260869565217,0.8721488595438175,0.8910984848484849,0.9447779111644657,0.870396484144799,0.9447779111644657
her2_status,auc_bytree03_bynode04_depth4,100,test_018,18,304565992,1362266026,2000,627,150,4,0.03,0.8,0.3,0.4,111.875,536,230,0.9478260869565217,0.8599939975990396,0.8881504295671907,0.9288715486194478,0.8757963984038925,0.9288715486194478
her2_status,auc_bytree03_bynode04_depth4,100,test_019,19,1564850724,1651126491,2000,665,150,4,0.03,0.8,0.3,0.4,118.059,536,230,0.9565217391304348,0.8772509003601441,0.9067920246393257,0.9324729891956782,0.8701961823698976,0.9324729891956782
her2_status,auc_bytree03_bynode04_depth4,100,test_020,20,788477524,1341746639,2000,690,150,4,0.03,0.8,0.3,0.4,124.23,536,230,0.9565217391304348,0.8772509003601441,0.9067920246393257,0.9273709483793517,0.8976083136041983,0.9273709483793517
her2_status,auc_bytree03_bynode04_depth4,100,test_021,21,1523490479,804407190,2000,705,150,4,0.03,0.8,0.3,0.4,130.817,536,230,0.9608695652173913,0.8919567827130852,0.9172364159769701,0.9320228091236494,0.8975803878572365,0.9320228091236494
her2_status,auc_bytree03_bynode04_depth4,100,test_022,22,716905647,2141274728,2000,665,150,4,0.03,0.8,0.3,0.4,137.16,536,230,0.9521739130434783,0.8746998799519807,0.8988445084162968,0.9612845138055222,0.9044767673063018,0.9612845138055222
her2_status,auc_bytree03_bynode04_depth4,100,test_023,23,1829458735,1500288663,2000,657,150,4,0.03,0.8,0.3,0.4,143.492,536,230,0.9521739130434783,0.862545018007203,0.8960516044208883,0.9440276110444177,0.8791516932610823,0.9440276110444177
her2_status,auc_bytree03_bynode04_depth4,100,test_024,24,1968605051,404586617,2000,649,150,4,0.03,0.8,0.3,0.4,149.713,536,230,0.9478260869565217,0.8599939975990396,0.8881504295671907,0.9287214885954381,0.8742765216691537,0.9287214885954381
her2_status,auc_bytree03_bynode04_depth4,100,test_025,25,28117286,489477505,2000,719,150,4,0.03,0.8,0.3,0.4,156.003,536,230,0.9695652173913043,0.9335234093637454,0.938855341612548,0.9732893157262906,0.940527502783335,0.9732893157262906
her2_status,auc_bytree03_bynode04_depth4,100,test_026,26,485724700,626160836,2000,665,150,4,0.03,0.8,0.3,0.4,162.176,536,230,0.9434782608695652,0.8452881152460985,0.877151896133777,0.9116146458583433,0.8320363056326431,0.9116146458583433
her2_status,auc_bytree03_bynode04_depth4,100,test_027,27,1844326293,1873301085,2000,724,150,4,0.03,0.8,0.3,0.4,168.543,536,230,0.9782608695652174,0.9507803121248499,0.9563252440089629,0.9536314525810324,0.9491128393032188,0.9536314525810324
her2_status,auc_bytree03_bynode04_depth4,100,test_028,28,329461738,371313907,2000,679,150,4,0.03,0.8,0.3,0.4,174.794,536,230,0.9478260869565217,0.8356842737094838,0.8816263510036026,0.9465786314525809,0.8844628419752222,0.9465786314525809
