leaderboard_rank,gene,prior_gene_set,is_prior_gene,auc_score,q1_count,q2_count,q3_count,q4_count,q1_rate,q2_rate,q3_rate,q4_rate,mean_rank,median_rank,best_rank,worst_rank,mean_gain,max_gain,gain_nonzero_count,zero_gain_count
1,STARD3,,False,1989.6948474237115,100,0,0,0,1.0,0.0,0.0,0.0,11.3,8.0,2,69,51.19800636291504,80.83683013916016,100,0
2,GRB7,pam50,True,1989.3246623311657,100,0,0,0,1.0,0.0,0.0,0.0,11.67,8.5,1,51,52.908567581176754,109.12364959716797,100,0
3,ERBB2,brca_driver|pam50,True,1987.503751875938,100,0,0,0,1.0,0.0,0.0,0.0,13.49,9.5,1,79,47.39627836227417,79.72966003417969,100,0
4,PGAP3,,False,1982.1010505252627,100,0,0,0,1.0,0.0,0.0,0.0,18.89,14.0,1,164,44.00685534477234,87.4649429321289,100,0
5,PSMD3,,False,1981.1205602801397,100,0,0,0,1.0,0.0,0.0,0.0,19.87,13.0,2,180,45.15269715309143,118.70953369140625,100,0
6,C17orf37,,False,1980.8104052026015,100,0,0,0,1.0,0.0,0.0,0.0,20.18,13.0,1,115,45.562217226028444,134.78890991210938,100,0
7,CDK12,,False,1974.4072036018008,100,0,0,0,1.0,0.0,0.0,0.0,26.58,11.0,1,347,51.13381649017334,155.36109924316406,100,0
8,MED1,,False,1973.5467733866933,100,0,0,0,1.0,0.0,0.0,0.0,27.44,19.5,2,152,37.13165525436401,77.27651977539062,100,0
9,TCAP,,False,1971.695847923962,100,0,0,0,1.0,0.0,0.0,0.0,29.29,10.5,1,309,56.02415142536163,214.7869873046875,100,0
10,ORMDL3,,False,1964.3221610805406,100,0,0,0,1.0,0.0,0.0,0.0,36.66,13.0,1,422,47.96596141576767,132.507568359375,100,0
11,MED24,,False,1956.0180090045023,100,0,0,0,1.0,0.0,0.0,0.0,44.96,17.5,1,307,40.30120910644531,111.71039581298828,100,0
12,GSDMB,,False,1913.776888444222,97,2,0,1,0.97,0.02,0.0,0.01,87.18,24.5,1,2000,36.49678516983986,107.6697769165039,99,1
13,FBXL20,,False,1901.0505252626315,98,0,0,2,0.98,0.0,0.0,0.02,99.9,22.5,1,2000,38.89132728338242,116.8977279663086,98,2
14,RPL19,,False,1850.9554777388694,97,3,0,0,0.97,0.03,0.0,0.0,149.97,102.0,6,611,16.385359221696852,53.774539947509766,100,0
15,MSL1,,False,1810.305152576288,95,2,0,3,0.95,0.02,0.0,0.03,190.6,78.0,1,2000,23.47883332371712,105.97254180908203,97,3
16,COX11,,False,1784.8324162081042,94,0,0,6,0.94,0.0,0.0,0.06,216.06,68.0,10,2000,17.81485311985016,53.59519958496094,94,6
17,CASC3,,False,1780.8704352176092,91,3,0,6,0.91,0.03,0.0,0.06,220.02,43.5,1,2000,30.621165820360183,198.14479064941406,94,6
