leaderboard_rank,gene,prior_gene_set,is_prior_gene,auc_score,q1_count,q2_count,q3_count,q4_count,q1_rate,q2_rate,q3_rate,q4_rate,mean_rank,median_rank,best_rank,worst_rank,mean_gain,max_gain,gain_nonzero_count,zero_gain_count
1,FOXA1,brca_driver|pam50,True,1990.4052026013007,100,0,0,0,1.0,0.0,0.0,0.0,10.59,7.0,1,81,30.840981826782226,65.10523986816406,100,0
2,FOXC1,pam50,True,1985.0325162581291,100,0,0,0,1.0,0.0,0.0,0.0,15.96,9.5,1,180,27.02992911338806,52.9525260925293,100,0
3,ESR1,brca_driver|pam50,True,1954.9674837418706,100,0,0,0,1.0,0.0,0.0,0.0,46.01,41.5,14,122,12.651508135795593,18.72795867919922,100,0
4,TBC1D9,,False,1949.254627313657,100,0,0,0,1.0,0.0,0.0,0.0,51.72,30.5,4,303,15.923262932300567,38.38098907470703,100,0
5,ROPN1,,False,1945.182591295648,98,0,0,2,0.98,0.0,0.0,0.02,55.79,11.0,1,2000,26.495810768008234,65.13453674316406,99,1
6,AGR2,,False,1937.67883941971,97,3,0,0,0.97,0.03,0.0,0.0,63.29,17.0,2,926,19.92108975172043,44.749881744384766,100,0
7,MLPH,pam50,True,1935.59779889945,97,1,1,1,0.97,0.01,0.01,0.01,65.37,13.0,1,1619,25.11673240840435,58.82400131225586,100,0
8,C6orf97,,False,1928.0440220110054,100,0,0,0,1.0,0.0,0.0,0.0,72.92,57.5,14,293,11.146732592582703,21.206125259399414,100,0
9,GPR77,,False,1923.0015007503755,100,0,0,0,1.0,0.0,0.0,0.0,77.96,59.5,9,325,11.035146160125732,25.637287139892578,100,0
10,GATA3,brca_driver,True,1922.1810905452724,99,1,0,0,0.99,0.01,0.0,0.0,78.78,61.0,18,501,10.271790282726288,20.380413055419922,100,0
11,RGMA,,False,1913.276638319159,97,0,2,1,0.97,0.0,0.02,0.01,87.68,16.0,1,1552,22.552788483500482,67.15131378173828,100,0
12,LOC100128977,,False,1913.03651825913,96,3,1,0,0.96,0.03,0.01,0.0,87.92,36.0,4,1331,14.155210471153259,35.15504837036133,100,0
13,STARD3,,False,1908.3541770885445,100,0,0,0,1.0,0.0,0.0,0.0,92.6,90.0,39,179,8.311627440452575,11.85192584991455,100,0
14,ERBB2,brca_driver|pam50,True,1891.1155577788895,100,0,0,0,1.0,0.0,0.0,0.0,109.83,101.0,57,245,7.489829545021057,10.380287170410156,100,0
15,C17orf37,,False,1888.6443221610807,100,0,0,0,1.0,0.0,0.0,0.0,112.3,103.5,52,339,7.60765465259552,11.558331489562988,100,0
16,CA12,,False,1887.5337668834418,99,1,0,0,0.99,0.01,0.0,0.0,113.41,90.0,20,715,8.487899264097214,19.461484909057617,100,0
17,GRB7,pam50,True,1885.8529264632316,100,0,0,0,1.0,0.0,0.0,0.0,115.09,108.0,33,228,7.517371187210083,13.280855178833008,100,0
18,RERG,,False,1878.279139569785,95,4,1,0,0.95,0.04,0.01,0.0,122.66,63.5,8,1329,10.422244810461997,28.257709503173828,100,0
19,PGAP3,,False,1866.8234117058528,100,0,0,0,1.0,0.0,0.0,0.0,134.11,129.0,56,297,6.620874412059784,10.117988586425781,100,0
20,KMO,,False,1864.1020510255123,96,1,1,2,0.96,0.01,0.01,0.02,136.83,43.0,5,2000,12.169207969903946,30.342931747436523,99,1
21,RLN2,,False,1857.9089544772387,98,2,0,0,0.98,0.02,0.0,0.0,143.02,96.0,19,930,8.17918003499508,19.9729061126709,100,0
22,PSMD3,,False,1848.4042021010507,100,0,0,0,1.0,0.0,0.0,0.0,152.52,137.5,42,409,6.478878083229065,13.553781509399414,100,0
23,CT62,,False,1844.8624312156078,95,2,3,0,0.95,0.02,0.03,0.0,156.06,85.0,7,1499,9.18195424824953,29.90362548828125,100,0
24,C1orf226,,False,1832.256128064032,91,8,1,0,0.91,0.08,0.01,0.0,168.66,95.0,13,1182,8.345638977885246,21.56764030456543,100,0
25,MED1,,False,1831.455727863932,100,0,0,0,1.0,0.0,0.0,0.0,169.46,154.5,60,348,5.804898872375488,10.157608032226562,100,0
26,BCAS1,,False,1820.930465232616,92,2,4,2,0.92,0.02,0.04,0.02,179.98,45.0,2,2000,13.037772387266159,37.0722770690918,99,1
27,AGR3,,False,1814.6173086543274,88,10,2,0,0.88,0.1,0.02,0.0,186.29,80.5,7,1254,9.184659859836101,23.874069213867188,100,0
28,BCL2,pam50,True,1812.5062531265635,92,3,4,1,0.92,0.03,0.04,0.01,188.4,83.5,11,2000,9.030506643652917,27.716115951538086,99,1
29,SLC16A6,,False,1811.725862931466,94,5,1,0,0.94,0.05,0.01,0.0,189.18,137.0,16,1453,7.406100313365459,20.792003631591797,100,0
30,NXNL2,,False,1808.4142071035521,89,6,4,1,0.89,0.06,0.04,0.01,192.49,56.0,4,1525,11.338731794059276,36.38421630859375,100,0
31,ORMDL3,,False,1798.2391195597802,97,3,0,0,0.97,0.03,0.0,0.0,202.66,162.5,25,746,5.555661607980728,17.122068405151367,100,0
32,FBXL20,,False,1790.545272636318,95,5,0,0,0.95,0.05,0.0,0.0,210.35,159.5,34,833,5.693442022800445,13.022417068481445,100,0
33,XBP1,,False,1789.6148074037017,84,9,4,3,0.84,0.09,0.04,0.03,211.28,27.0,1,2000,18.2185572463274,65.72605895996094,97,3
34,FZD9,,False,1771.725862931466,90,5,2,3,0.9,0.05,0.02,0.03,229.16,78.5,13,2000,9.580596071481704,23.0938663482666,98,2
35,SPDEF,,False,1767.2036018009003,87,6,4,3,0.87,0.06,0.04,0.03,233.68,40.0,1,2000,17.59251463741064,81.23326110839844,97,3
36,CDK12,,False,1766.8334167083544,93,7,0,0,0.93,0.07,0.0,0.0,234.05,200.0,57,896,4.992877044677734,10.842761993408203,100,0
37,PMAIP1,,False,1759.189594797399,85,10,3,2,0.85,0.1,0.03,0.02,241.69,72.0,2,1558,10.062772702872753,52.28568649291992,100,0
38,IGF1R,,False,1756.2981490745376,85,13,2,0,0.85,0.13,0.02,0.0,244.58,156.0,15,1137,7.120761060118675,21.33626937866211,100,0
39,DBNDD2,,False,1755.8379189594798,88,7,4,1,0.88,0.07,0.04,0.01,245.04,122.5,4,2000,8.67768777012825,36.68743133544922,99,1
40,GREB1,,False,1754.8974487243622,91,5,2,2,0.91,0.05,0.02,0.02,245.98,159.0,13,2000,6.7767553105950356,22.29593276977539,99,1
41,LOC145837,,False,1754.1070535267634,82,14,2,2,0.82,0.14,0.02,0.02,246.77,48.5,1,2000,14.16929688334465,61.764163970947266,99,1
42,PRR15,,False,1753.0265132566287,90,5,2,3,0.9,0.05,0.02,0.03,247.85,117.0,2,2000,11.587528023719788,80.35091400146484,98,2
