task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc_macro_ovr,primary_metric
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_001,1,1306335338,1196478285,2000,1626,200,4,0.03,0.8,0.3,0.4,21.023,508,218,0.8899082568807339,0.7751501501501502,0.7855803359047787,0.9619697872161745,0.7855803359047787
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_002,2,1347801176,1355746357,2000,1648,200,4,0.03,0.8,0.3,0.4,42.292,508,218,0.8990825688073395,0.8067755255255256,0.8470902763665922,0.9352440549866865,0.8470902763665922
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_003,3,1420598383,611377459,2000,1674,200,4,0.03,0.8,0.3,0.4,63.848,508,218,0.9128440366972477,0.8357732732732733,0.8438133596361443,0.9634466313714151,0.8438133596361443
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_004,4,1505022116,91590397,2000,1640,200,4,0.03,0.8,0.3,0.4,85.219,508,218,0.908256880733945,0.8094031531531531,0.8288588403413986,0.9521886380592366,0.8288588403413986
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_005,5,1109372792,172931019,2000,1627,200,4,0.03,0.8,0.3,0.4,106.399,508,218,0.9036697247706422,0.8432807807807807,0.8493358395989975,0.9567820314593701,0.8493358395989975
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_006,6,1775093930,2062215163,2000,1619,200,4,0.03,0.8,0.3,0.4,127.735,508,218,0.8853211009174312,0.7829391891891893,0.8097222222222222,0.9415704030896314,0.8097222222222222
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_007,7,2045967345,484660851,2000,1643,200,4,0.03,0.8,0.3,0.4,149.395,508,218,0.8853211009174312,0.742210960960961,0.7523350041771094,0.95062470277191,0.7523350041771094
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_008,8,1284926715,1460514387,2000,1647,200,4,0.03,0.8,0.3,0.4,170.922,508,218,0.8853211009174312,0.8118430930930931,0.8028102704496431,0.9479828240799274,0.8028102704496431
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_009,9,431663131,654896610,2000,1609,200,4,0.03,0.8,0.3,0.4,192.132,508,218,0.8899082568807339,0.7424924924924925,0.7685587366786214,0.9499525336506781,0.7685587366786214
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_010,10,1766534586,2078122695,2000,1633,200,4,0.03,0.8,0.3,0.4,213.334,508,218,0.8623853211009175,0.7222222222222222,0.7378860272253711,0.9622393539210438,0.7378860272253711
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_011,11,1623990015,1852096782,2000,1638,200,4,0.03,0.8,0.3,0.4,234.627,508,218,0.8807339449541285,0.7912912912912913,0.8046350262203921,0.9573315041162811,0.8046350262203921
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_012,12,113221714,458933199,2000,1603,200,4,0.03,0.8,0.3,0.4,255.717,508,218,0.8944954128440367,0.7753378378378377,0.8028992837364233,0.9532847590267239,0.8028992837364233
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_013,13,762093690,428479091,2000,1549,200,4,0.03,0.8,0.3,0.4,276.571,508,218,0.8532110091743119,0.7202515015015015,0.7399657449897592,0.9341848247431715,0.7399657449897592
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_014,14,2147277934,1262596125,2000,1630,200,4,0.03,0.8,0.3,0.4,297.587,508,218,0.9220183486238532,0.8478791291291291,0.8594394047414181,0.9658217395033646,0.8594394047414181
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_015,15,836463338,814277599,2000,1646,200,4,0.03,0.8,0.3,0.4,318.813,508,218,0.8761467889908257,0.7388325825825826,0.7834521783756043,0.9400200519532702,0.7834521783756043
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_016,16,1091620105,644619026,2000,1607,200,4,0.03,0.8,0.3,0.4,339.974,508,218,0.8715596330275229,0.7755255255255256,0.7746149099705342,0.9459728517894327,0.7746149099705342
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_017,17,267047615,105423308,2000,1629,200,4,0.03,0.8,0.3,0.4,361.341,508,218,0.9128440366972477,0.8132507507507507,0.8619388544891641,0.9554476504917812,0.8619388544891641
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_018,18,587274377,1824903878,2000,1617,200,4,0.03,0.8,0.3,0.4,382.52,508,218,0.8807339449541285,0.7825638138138138,0.7972947917715361,0.9489325145471161,0.7972947917715361
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_019,19,1940577130,1700052903,2000,1651,200,4,0.03,0.8,0.3,0.4,404.083,508,218,0.8990825688073395,0.7792792792792793,0.8113456858153097,0.954060679185723,0.8113456858153097
