task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc_macro_ovr,primary_metric
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_001,1,888329040,691512776,2000,1596,200,4,0.03,0.8,0.3,0.4,25.426,585,252,0.9206349206349206,0.9026520136878127,0.9113448423793251,0.9899286761430203,0.9113448423793251
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_002,2,976310752,959274257,2000,1611,200,4,0.03,0.8,0.3,0.4,50.612,585,252,0.9365079365079365,0.9289813873908067,0.9197105631455446,0.9958952003449248,0.9197105631455446
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_003,3,1235206467,693705470,2000,1567,200,4,0.03,0.8,0.3,0.4,75.816,585,252,0.9285714285714286,0.9102331090801128,0.9197210197210197,0.9918574729122894,0.9197210197210197
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_004,4,120963474,125529892,2000,1542,200,4,0.03,0.8,0.3,0.4,101.051,585,252,0.9007936507936508,0.8502238196098116,0.873834862453837,0.9862744961813671,0.873834862453837
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_005,5,583205057,53064358,2000,1571,200,4,0.03,0.8,0.3,0.4,127.262,585,252,0.8809523809523809,0.8652508003942285,0.8748928381009375,0.9810863070361848,0.8748928381009375
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_006,6,1399773435,1883650324,2000,1553,200,4,0.03,0.8,0.3,0.4,152.738,585,252,0.9047619047619048,0.8603218717287904,0.8746782358093028,0.9854303369655298,0.8746782358093028
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_007,7,22752752,890833220,2000,1598,200,4,0.03,0.8,0.3,0.4,177.787,585,252,0.9523809523809523,0.9553962334029151,0.9511627906976745,0.9957546260010004,0.9511627906976745
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_008,8,524869566,1797193008,2000,1559,200,4,0.03,0.8,0.3,0.4,203.053,585,252,0.9166666666666666,0.9041293761516188,0.9076111110867496,0.9877859030207834,0.9076111110867496
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_009,9,409700955,1681695212,2000,1547,200,4,0.03,0.8,0.3,0.4,227.709,585,252,0.9007936507936508,0.89927627833518,0.8884000067977207,0.9827554636089818,0.8884000067977207
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_010,10,875079576,226256078,2000,1585,200,4,0.03,0.8,0.3,0.4,252.708,585,252,0.9404761904761905,0.9309752566464858,0.9358302768012388,0.991911878274122,0.9358302768012388
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_011,11,1211654544,932779828,2000,1571,200,4,0.03,0.8,0.3,0.4,277.837,585,252,0.9285714285714286,0.9440313240326401,0.9302170024111378,0.990921366010443,0.9302170024111378
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_012,12,685255195,956944895,2000,1582,200,4,0.03,0.8,0.3,0.4,302.829,585,252,0.9365079365079365,0.9126875493550934,0.9194149171609318,0.9918910143548625,0.9194149171609318
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_013,13,634205251,778267009,2000,1599,200,4,0.03,0.8,0.3,0.4,328.087,585,252,0.9404761904761905,0.9448671468011778,0.9379213722229768,0.9931281505636222,0.9379213722229768
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_014,14,1685974447,359084432,2000,1533,200,4,0.03,0.8,0.3,0.4,352.869,585,252,0.8968253968253969,0.8897834956567517,0.8952214452214452,0.9819061846298368,0.8952214452214452
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_015,15,1210935548,91088098,2000,1583,200,4,0.03,0.8,0.3,0.4,377.98,585,252,0.8968253968253969,0.8613089735977031,0.8713307099196188,0.9873054481460373,0.8713307099196188
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_016,16,463167778,1065864207,2000,1588,200,4,0.03,0.8,0.3,0.4,403.022,585,252,0.9206349206349206,0.915125767490833,0.9180568472448267,0.9906722792684794,0.9180568472448267
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_017,17,1171170093,421301366,2000,1586,200,4,0.03,0.8,0.3,0.4,428.271,585,252,0.9404761904761905,0.9376613031581138,0.9278742910197946,0.992054243907272,0.9278742910197946
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_018,18,2022745718,1408528164,2000,1603,200,4,0.03,0.8,0.3,0.4,453.742,585,252,0.9206349206349206,0.9190313240326401,0.9049934761451096,0.9864779969692208,0.9049934761451096
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_019,19,1520507802,1636882254,2000,1578,200,4,0.03,0.8,0.3,0.4,478.864,585,252,0.9404761904761905,0.9049026824684586,0.9189906679976894,0.9942720435417345,0.9189906679976894
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_020,20,80614275,884703753,2000,1572,200,4,0.03,0.8,0.3,0.4,503.834,585,252,0.9365079365079365,0.8875987867064159,0.8980217003472817,0.9933547560631866,0.8980217003472817
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_021,21,2120685559,1590057298,2000,1598,200,4,0.03,0.8,0.3,0.4,529.114,585,252,0.9206349206349206,0.915125767490833,0.9210700678828614,0.9889630267736329,0.9210700678828614
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_022,22,904090749,291049649,2000,1603,200,4,0.03,0.8,0.3,0.4,554.234,585,252,0.9166666666666666,0.9079494603843117,0.9043781618949174,0.9881090615959977,0.9043781618949174
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_023,23,566840347,1462127600,2000,1624,200,4,0.03,0.8,0.3,0.4,579.861,585,252,0.9246031746031746,0.9387371676757041,0.9373937324108819,0.9912866751053957,0.9373937324108819
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_024,24,1102187101,1374338250,2000,1604,200,4,0.03,0.8,0.3,0.4,604.771,585,252,0.9285714285714286,0.902563251039135,0.9045289952876392,0.990926085429112,0.9045289952876392
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_025,25,1792126543,626761226,2000,1562,200,4,0.03,0.8,0.3,0.4,629.62,585,252,0.9087301587301587,0.866050352908048,0.8799897757067944,0.9874896237716342,0.8799897757067944
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_026,26,1748573409,622416955,2000,1582,200,4,0.03,0.8,0.3,0.4,654.315,585,252,0.9047619047619048,0.8857037041571527,0.8841043097959806,0.9848846911727436,0.8841043097959806
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_027,27,1488253970,861112313,2000,1567,200,4,0.03,0.8,0.3,0.4,679.019,585,252,0.9365079365079365,0.9357529062115488,0.9338000305017393,0.9938433069825634,0.9338000305017393
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_028,28,1901895511,1005798138,2000,1573,200,4,0.03,0.8,0.3,0.4,704.07,585,252,0.8968253968253969,0.8767899447222953,0.8826853054261197,0.9875173274770429,0.8826853054261197
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_029,29,304429952,1658893261,2000,1612,200,4,0.03,0.8,0.3,0.4,729.34,585,252,0.9206349206349206,0.8766649118188998,0.8951754385964912,0.9905267327488256,0.8951754385964912
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_030,30,1828356355,476009811,2000,1595,200,4,0.03,0.8,0.3,0.4,754.976,585,252,0.9365079365079365,0.9145697001046788,0.927868995025568,0.9938212034160274,0.927868995025568
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_031,31,746833067,1642779722,2000,1589,200,4,0.03,0.8,0.3,0.4,780.306,585,252,0.9404761904761905,0.9193998420637011,0.9269099310082917,0.9934536869736396,0.9269099310082917
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_032,32,414496232,799137293,2000,1598,200,4,0.03,0.8,0.3,0.4,805.339,585,252,0.9246031746031746,0.9093643063964201,0.9153344539468551,0.9927508769818822,0.9153344539468551
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_033,33,155339477,1575988468,2000,1566,200,4,0.03,0.8,0.3,0.4,830.353,585,252,0.9206349206349206,0.8712557466163067,0.8855846794810558,0.9912103696597365,0.8855846794810558
