task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc,model_auprc,primary_metric
tnbc_status,auc_bytree03_bynode04_depth4,100,test_001,1,675287488,1249112505,2000,616,150,4,0.03,0.8,0.3,0.4,6.33,508,218,0.944954128440367,0.9023443332835598,0.9023443332835598,0.9520680901896372,0.8657660190049864,0.9520680901896372
tnbc_status,auc_bytree03_bynode04_depth4,100,test_002,2,1091096835,1067458260,2000,710,150,4,0.03,0.8,0.3,0.4,12.669,508,218,0.9587155963302753,0.9428848738241004,0.9290236226169374,0.9899955203822607,0.9545079446169678,0.9899955203822607
tnbc_status,auc_bytree03_bynode04_depth4,100,test_003,3,495665299,1920699576,2000,555,150,4,0.03,0.8,0.3,0.4,18.756,508,218,0.9403669724770642,0.9103329849186204,0.8974785660022429,0.9268329102583246,0.8441365186146538,0.9268329102583246
tnbc_status,auc_bytree03_bynode04_depth4,100,test_004,4,6946979,519540587,2000,557,150,4,0.03,0.8,0.3,0.4,24.945,508,218,0.9174311926605505,0.8427654173510527,0.8502747252747253,0.9337016574585636,0.8471285371973145,0.9337016574585636
tnbc_status,auc_bytree03_bynode04_depth4,100,test_005,5,1766874127,1037640484,2000,662,150,4,0.03,0.8,0.3,0.4,31.229,508,218,0.963302752293578,0.9348962221890398,0.9348962221890398,0.9846199790951173,0.9071115651632962,0.9846199790951173
tnbc_status,auc_bytree03_bynode04_depth4,100,test_006,6,1963109246,983574018,2000,669,150,4,0.03,0.8,0.3,0.4,37.481,508,218,0.9678899082568807,0.9591608182768403,0.9447961509242846,0.9882036732865462,0.9286875723251207,0.9882036732865462
tnbc_status,auc_bytree03_bynode04_depth4,100,test_007,7,1338796425,2002764407,2000,653,150,4,0.03,0.8,0.3,0.4,43.811,508,218,0.963302752293578,0.9241451396147529,0.9334554334554335,0.9571449902941616,0.919708660563287,0.9571449902941616
tnbc_status,auc_bytree03_bynode04_depth4,100,test_008,8,1157374318,995776860,2000,642,150,4,0.03,0.8,0.3,0.4,50.089,508,218,0.9678899082568807,0.9376586531282665,0.942412921242311,0.9807376437210691,0.9234076214086342,0.9807376437210691
tnbc_status,auc_bytree03_bynode04_depth4,100,test_009,9,198312754,812217896,2000,619,150,4,0.03,0.8,0.3,0.4,56.222,508,218,0.9357798165137615,0.8968194714051068,0.8884502923976608,0.94460206062416,0.856668795478412,0.94460206062416
tnbc_status,auc_bytree03_bynode04_depth4,100,test_010,10,1577994697,1012222369,2000,703,150,4,0.03,0.8,0.3,0.4,62.582,508,218,0.963302752293578,0.9563983873376138,0.9375447643604069,0.9888009556517844,0.9404988146053053,0.9888009556517844
tnbc_status,auc_bytree03_bynode04_depth4,100,test_011,11,624934700,1884307831,2000,673,150,4,0.03,0.8,0.3,0.4,68.9,508,218,0.9403669724770642,0.8995819023443332,0.8953277931671284,0.9814842466776168,0.9040021960396796,0.9814842466776168
tnbc_status,auc_bytree03_bynode04_depth4,100,test_012,12,862253277,861148458,2000,673,150,4,0.03,0.8,0.3,0.4,75.154,508,218,0.944954128440367,0.9345975810064209,0.9081460674157303,0.9826788114080931,0.9058903236041276,0.9826788114080931
tnbc_status,auc_bytree03_bynode04_depth4,100,test_013,13,1897926253,1985064936,2000,649,150,4,0.03,0.8,0.3,0.4,81.405,508,218,0.944954128440367,0.9238464984321337,0.9063171465406102,0.9649096610422577,0.8446361062685132,0.9649096610422577
