leaderboard_rank,gene,prior_gene_set,is_prior_gene,auc_score,q1_count,q2_count,q3_count,q4_count,q1_rate,q2_rate,q3_rate,q4_rate,mean_rank,median_rank,best_rank,worst_rank,mean_gain,max_gain,gain_nonzero_count,zero_gain_count
1,ESR1,brca_driver|pam50,True,1990.9954977488744,100,0,0,0,1.0,0.0,0.0,0.0,10.0,9.0,1,32,109.3365493774414,249.41928100585938,100,0
2,GATA3,brca_driver,True,1984.2221110555274,100,0,0,0,1.0,0.0,0.0,0.0,16.77,12.0,3,321,85.83076329708099,158.1315460205078,100,0
3,TBC1D9,,False,1965.472736368184,99,0,0,1,0.99,0.0,0.0,0.01,35.51,11.0,2,2000,99.52687217712402,240.42782592773438,99,1
4,SLC16A6,,False,1950.445222611306,98,1,0,1,0.98,0.01,0.0,0.01,50.53,21.0,4,2000,52.57183126449585,194.72618103027344,99,1
5,AGR3,,False,1915.6578289144572,95,2,0,3,0.95,0.02,0.0,0.03,85.3,10.0,1,2000,108.79729418635368,421.3052673339844,97,3
6,FOXA1,brca_driver|pam50,True,1898.3791895947973,94,2,0,4,0.94,0.02,0.0,0.04,102.57,6.0,1,2000,144.6148184043169,418.4437561035156,96,4
7,FOXC1,pam50,True,1892.0460230115061,96,0,0,4,0.96,0.0,0.0,0.04,108.9,10.0,1,2000,109.0787349152565,415.37957763671875,96,4
8,ERBB2,brca_driver|pam50,True,1887.0835417708856,99,1,0,0,0.99,0.01,0.0,0.0,113.86,93.5,37,554,11.62399785041809,24.738853454589844,100,0
9,PGAP3,,False,1882.0110055027512,99,1,0,0,0.99,0.01,0.0,0.0,118.93,104.0,30,513,11.324970381259918,24.775211334228516,100,0
10,RABEP1,,False,1873.9469734867434,98,0,0,2,0.98,0.0,0.0,0.02,126.99,42.5,7,2000,32.15401035070419,121.8580551147461,98,2
11,GRB7,pam50,True,1871.7158579289646,99,1,0,0,0.99,0.01,0.0,0.0,129.22,114.5,33,540,11.15809358239174,26.954587936401367,100,0
