task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc,model_auprc,primary_metric
tumor_normal,auc_bytree03_bynode04_depth4,250,test_001,1,1853230605,528820901,2000,112,150,4,0.03,0.8,0.3,0.4,3.285,847,364,1.0,1.0,1.0,1.0,1.0,1.0
tumor_normal,auc_bytree03_bynode04_depth4,250,test_002,2,1602272357,183995767,2000,109,150,4,0.03,0.8,0.3,0.4,8.062,847,364,0.9945054945054945,0.996969696969697,0.98419452887538,0.9990196078431373,0.9999022482893452,0.9990196078431373
tumor_normal,auc_bytree03_bynode04_depth4,250,test_003,3,161499920,1690324287,2000,109,150,4,0.03,0.8,0.3,0.4,13.379,847,364,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
tumor_normal,auc_bytree03_bynode04_depth4,250,test_004,4,1600887289,290808163,2000,102,150,4,0.03,0.8,0.3,0.4,18.523,847,364,0.9945054945054945,0.996969696969697,0.98419452887538,0.999108734402852,0.9999099668632553,0.999108734402852
tumor_normal,auc_bytree03_bynode04_depth4,250,test_005,5,266247462,741954791,2000,108,150,4,0.03,0.8,0.3,0.4,23.727,847,364,0.9945054945054945,0.996969696969697,0.98419452887538,0.9997326203208556,0.9999726999727,0.9997326203208556
tumor_normal,auc_bytree03_bynode04_depth4,250,test_006,6,224680258,101212400,2000,110,150,4,0.03,0.8,0.3,0.4,28.889,847,364,0.9972527472527473,0.9984848484848485,0.9919948978469795,0.9999108734402852,0.9999908450059507,0.9999108734402852
tumor_normal,auc_bytree03_bynode04_depth4,250,test_007,7,801372713,16074810,2000,114,150,4,0.03,0.8,0.3,0.4,34.022,847,364,0.9917582417582418,0.9954545454545455,0.9765901344137886,0.9987522281639929,0.9998740027672289,0.9987522281639929
tumor_normal,auc_bytree03_bynode04_depth4,250,test_008,8,997885752,477607700,2000,95,150,4,0.03,0.8,0.3,0.4,39.115,847,364,0.9945054945054945,0.9837789661319073,0.9837789661319073,0.9990196078431373,0.9999022482893452,0.9990196078431373
tumor_normal,auc_bytree03_bynode04_depth4,250,test_009,9,1383717296,150597805,2000,115,150,4,0.03,0.8,0.3,0.4,44.319,847,364,0.9972527472527473,0.9984848484848485,0.9919948978469795,1.0,0.9999999999999999,1.0
tumor_normal,auc_bytree03_bynode04_depth4,250,test_010,10,1787946098,740954647,2000,127,150,4,0.03,0.8,0.3,0.4,49.542,847,364,1.0,1.0,1.0,1.0,1.0,1.0
tumor_normal,auc_bytree03_bynode04_depth4,250,test_011,11,1084078058,747547206,2000,108,150,4,0.03,0.8,0.3,0.4,54.718,847,364,0.9945054945054945,0.996969696969697,0.98419452887538,1.0,1.0,1.0
tumor_normal,auc_bytree03_bynode04_depth4,250,test_012,12,1336628152,1500800170,2000,110,150,4,0.03,0.8,0.3,0.4,59.941,847,364,0.9972527472527473,0.9984848484848485,0.9919948978469795,1.0,1.0,1.0
tumor_normal,auc_bytree03_bynode04_depth4,250,test_013,13,427276880,1908499512,2000,95,150,4,0.03,0.8,0.3,0.4,65.091,847,364,0.9917582417582418,0.9954545454545455,0.9765901344137886,0.9988413547237076,0.9998851488647408,0.9988413547237076
tumor_normal,auc_bytree03_bynode04_depth4,250,test_014,14,721217853,1546214109,2000,119,150,4,0.03,0.8,0.3,0.4,70.284,847,364,0.9945054945054945,0.996969696969697,0.98419452887538,0.9982174688057041,0.9998214839703647,0.9982174688057041
tumor_normal,auc_bytree03_bynode04_depth4,250,test_015,15,348131831,1566422491,2000,115,150,4,0.03,0.8,0.3,0.4,75.414,847,364,0.9945054945054945,0.996969696969697,0.98419452887538,0.9992869875222816,0.9999278732836866,0.9992869875222816
tumor_normal,auc_bytree03_bynode04_depth4,250,test_016,16,1255510766,1174320029,2000,115,150,4,0.03,0.8,0.3,0.4,80.658,847,364,0.9972527472527473,0.9984848484848485,0.9919948978469795,0.9997326203208556,0.9999726999727,0.9997326203208556
tumor_normal,auc_bytree03_bynode04_depth4,250,test_017,17,1935150684,1887106817,2000,127,150,4,0.03,0.8,0.3,0.4,85.758,847,364,0.9917582417582418,0.9954545454545455,0.9765901344137886,0.9993761140819964,0.9999363266894469,0.9993761140819964
tumor_normal,auc_bytree03_bynode04_depth4,250,test_018,18,2062142269,1571769570,2000,104,150,4,0.03,0.8,0.3,0.4,90.942,847,364,0.9972527472527473,0.9984848484848485,0.9919948978469795,1.0,1.0,1.0
tumor_normal,auc_bytree03_bynode04_depth4,250,test_019,19,1103428804,11019186,2000,96,150,4,0.03,0.8,0.3,0.4,95.988,847,364,0.9862637362637363,0.9924242424242424,0.9619366307644044,0.999554367201426,0.999954306588736,0.999554367201426
tumor_normal,auc_bytree03_bynode04_depth4,250,test_020,20,742571163,1064116996,2000,118,150,4,0.03,0.8,0.3,0.4,101.064,847,364,1.0,1.0,1.0,1.0,1.0,1.0
tumor_normal,auc_bytree03_bynode04_depth4,250,test_021,21,99246701,321910315,2000,95,150,4,0.03,0.8,0.3,0.4,106.12,847,364,0.989010989010989,0.9939393939393939,0.9691734417344173,0.9985739750445634,0.9998560647454382,0.9985739750445634
tumor_normal,auc_bytree03_bynode04_depth4,250,test_022,22,2128941438,616813409,2000,122,150,4,0.03,0.8,0.3,0.4,111.297,847,364,0.9945054945054945,0.996969696969697,0.98419452887538,0.9996434937611408,0.9999635172362444,0.9996434937611408
tumor_normal,auc_bytree03_bynode04_depth4,250,test_023,23,2024354494,1471851405,2000,120,150,4,0.03,0.8,0.3,0.4,116.412,847,364,0.9972527472527473,0.9984848484848485,0.9919948978469795,1.0,1.0,1.0
tumor_normal,auc_bytree03_bynode04_depth4,250,test_024,24,2010175307,484496618,2000,117,150,4,0.03,0.8,0.3,0.4,121.562,847,364,0.9972527472527473,0.9984848484848485,0.9919948978469795,1.0,1.0,1.0
tumor_normal,auc_bytree03_bynode04_depth4,250,test_025,25,1257139214,191237508,2000,116,150,4,0.03,0.8,0.3,0.4,126.707,847,364,0.9972527472527473,0.9984848484848485,0.9919948978469795,1.0,1.0,1.0
tumor_normal,auc_bytree03_bynode04_depth4,250,test_026,26,1903500129,1645242672,2000,122,150,4,0.03,0.8,0.3,0.4,131.934,847,364,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
tumor_normal,auc_bytree03_bynode04_depth4,250,test_027,27,1284031248,451531389,2000,112,150,4,0.03,0.8,0.3,0.4,137.11,847,364,0.9945054945054945,0.996969696969697,0.98419452887538,0.999554367201426,0.9999547715965627,0.999554367201426
tumor_normal,auc_bytree03_bynode04_depth4,250,test_028,28,403601839,1702800681,2000,121,150,4,0.03,0.8,0.3,0.4,142.259,847,364,0.9972527472527473,0.9984848484848485,0.9919948978469795,0.999554367201426,0.9999547715965627,0.999554367201426
tumor_normal,auc_bytree03_bynode04_depth4,250,test_029,29,510211805,1134537605,2000,119,150,4,0.03,0.8,0.3,0.4,147.338,847,364,0.9917582417582418,0.9954545454545455,0.9765901344137886,0.9986631016042782,0.9998647839677606,0.9986631016042782
tumor_normal,auc_bytree03_bynode04_depth4,250,test_030,30,137819072,282912471,2000,95,150,4,0.03,0.8,0.3,0.4,152.415,847,364,0.989010989010989,0.9939393939393939,0.9691734417344173,0.9973262032085561,0.9997328177264532,0.9973262032085561
tumor_normal,auc_bytree03_bynode04_depth4,250,test_031,31,322227246,292522877,2000,110,150,4,0.03,0.8,0.3,0.4,157.547,847,364,0.9917582417582418,0.9954545454545455,0.9765901344137886,1.0,1.0,1.0
tumor_normal,auc_bytree03_bynode04_depth4,250,test_032,32,1116670015,2116757080,2000,110,150,4,0.03,0.8,0.3,0.4,162.651,847,364,0.9945054945054945,0.996969696969697,0.98419452887538,0.9993761140819963,0.999937056020142,0.9993761140819963
tumor_normal,auc_bytree03_bynode04_depth4,250,test_033,33,618680763,1115264217,2000,119,150,4,0.03,0.8,0.3,0.4,167.832,847,364,0.9972527472527473,0.9984848484848485,0.9919948978469795,1.0,1.0,1.0
tumor_normal,auc_bytree03_bynode04_depth4,250,test_034,34,1358781427,947109033,2000,103,150,4,0.03,0.8,0.3,0.4,172.941,847,364,0.9972527472527473,0.9984848484848485,0.9919948978469795,0.9997326203208556,0.9999726999727,0.9997326203208556
tumor_normal,auc_bytree03_bynode04_depth4,250,test_035,35,1414164846,1625402616,2000,123,150,4,0.03,0.8,0.3,0.4,178.08,847,364,0.9917582417582418,0.9954545454545455,0.9765901344137886,0.9997326203208556,0.9999726999726999,0.9997326203208556
tumor_normal,auc_bytree03_bynode04_depth4,250,test_036,36,314606171,368007651,2000,117,150,4,0.03,0.8,0.3,0.4,183.254,847,364,0.9972527472527473,0.9984848484848485,0.9919948978469795,1.0,1.0,1.0
tumor_normal,auc_bytree03_bynode04_depth4,250,test_037,37,622930263,818654001,2000,126,150,4,0.03,0.8,0.3,0.4,188.372,847,364,0.9945054945054945,0.996969696969697,0.98419452887538,0.9999108734402852,0.9999908450059507,0.9999108734402852
tumor_normal,auc_bytree03_bynode04_depth4,250,test_038,38,1932444856,1933368430,2000,82,150,4,0.03,0.8,0.3,0.4,193.32,847,364,0.989010989010989,0.9939393939393939,0.9691734417344173,0.9979500891265597,0.9997967390669703,0.9979500891265597
tumor_normal,auc_bytree03_bynode04_depth4,250,test_039,39,1822512400,1363763520,2000,116,150,4,0.03,0.8,0.3,0.4,198.531,847,364,0.9972527472527473,0.9984848484848485,0.9919948978469795,1.0,0.9999999999999999,1.0
tumor_normal,auc_bytree03_bynode04_depth4,250,test_040,40,476553222,544370336,2000,96,150,4,0.03,0.8,0.3,0.4,203.633,847,364,0.989010989010989,0.9939393939393939,0.9691734417344173,0.9976827094474153,0.9997703947256115,0.9976827094474153
